"word","BBC","CNN","FOX","MSNBC"
"donkey","0","2","0","0"
"rodeo","0","2","0","0"
"wh","0","484","496","313"
"biden","354","4787","3356","4482"
"longer","13","26","31","16"
"travel","227","100","50","49"
"delaware","0","24","3","22"
"tonight","6","250","47","159"
"house","51","1474","787","2079"
"leaders","63","203","60","219"
"push","6","252","222","369"
"vote","102","1028","201","1275"
"infrastructure","11","727","174","1037"
"bill","42","1248","531","1617"
"pelosi","0","568","140","430"
"vows","5","174","37","81"
"sources","17","135","15","16"
"say","172","359","92","118"
"X2o","333","184","249","213"
"progressives","0","311","35","186"
"calls","97","476","282","332"
"progressive","1","240","31","149"
"caucus","0","181","8","115"
"meeting","143","191","46","196"
"asks","20","124","45","138"
"support","54","280","58","311"
"representative","8","985","216","1028"
"jared","10","11","5","4"
"huffman","0","4","4","0"
"X.","346","5968","8682","10738"
"congressmnal","0","1","0","0"
"d","87","850","219","626"
"congressional","0","232","45","134"
"lay","7","33","3","23"
"david","24","206","42","84"
"axelrod","0","25","0","0"
"magaie","0","20","0","0"
"haberman","0","27","0","0"
"X..1","16","283","83","58"
"w","55","732","329","201"
"political","60","525","146","318"
"analyst","8","465","84","92"
"tearful","0","1","2","0"
"day","57","549","198","349"
"court","162","467","151","694"
"da","0","129","30","74"
"criminal","15","392","37","365"
"complaint","0","7","14","7"
"filed","9","26","6","22"
"sheriffs","0","18","5","3"
"office","70","136","22","54"
"former","138","1183","624","237"
"new","569","2419","929","2703"
"york","71","284","127","264"
"gov","3","1092","316","666"
"andrew","155","112","9","18"
"cuomo","0","60","23","10"
"potentially","1","13","0","12"
"defective","0","6","0","0"
"case","122","217","143","325"
"mj","0","7","0","2"
"lee","17","81","36","73"
"cn","1","33","6","3"
"correspondent","60","1214","109","490"
"allinvesting","0","9","7","26"
"involves","1","15","13","26"
"risks","0","58","17","37"
"including","6","176","41","112"
"prosecutors","3","44","6","33"
"defendants","0","12","0","52"
"chased","0","5","7","0"
"killed","112","360","243","138"
"arbery","0","240","1","66"
"based","16","66","32","101"
"assumptions","0","7","0","0"
"martin","7","57","5","2"
"savidge","0","27","0","0"
"arberys","0","57","0","4"
"mother","28","70","41","58"
"courtroom","0","2","0","1"
"video","28","232","163","60"
