"word","count"
"care",1056
"uk",925
"us",868
"alghanistan",729
"taliban",637
"pm",570
"new",569
"social",561
"covid",561
"raducanu",475
"years",465
"says",457
"bibenews",447
"takeover",419
"people",417
"ciih",400
"rise",360
"government",356
"biden",354
"£",349
"un",345
"coronavirus",341
"vaccine",335
"crisis",333
"2o",333
"health",320
"first",303
"rememoering",303
"papers",302
"election",301
"police",291
"australia",285
"labour",283
"president",272
"england",268
"cabinet",265
"back",262
"plans",261
"911",261
"secretary",254
"upen",253
"s",252
"supply",252
"party",251
"statement",242
"vaccines",241
"jabs",235
"place",232
"ooclal",229
"travel",227
"uo",224
"1or",224
"conservative",223
"runding",222
"govt",216
"plan",215
"wins",213
"national",211
"tax",210
"chief",207
"security",206
"soclal",205
"conierence",202
"year",200
"climate",200
"general",200
"1o",199
"response",196
"law",191
"source",190
"world",187
"minister",186
"shortage",180
"warning",180
"johnson",179
"children",179
"emma",178
"g",175
"pact",174
"say",172
"b",164
"court",162
"state",160
"germany",158
"price",157
"taking",157
"andrew",155
"tallban",155
"trial",154
"t",152
"expected",148
"two",145
"el",144
"meeting",143
"nhs",143
"l",142
"attacks",142
"one",141
"passports",139
"changes",138
