utc_time,network,seconds_on_screen,program,text
2021-10-05 05:55:00,CNNW,47,CNNW_20211005_050000_Anderson_Cooper_360/start/3300,"126,000 GALLONS OF CRUDE OIL LEAKED OFF CALIFORNIA COAST"
2021-09-11 01:00:00,CNNW,28,CNNW_20210911_000000_Anderson_Cooper_360/start/3600,20 YEARS AFTER 911 NEVER FORGET OUR COLLECTIVE RESOLVE
2021-11-04 00:53:00,CNNW,52,CNNW_20211104_000000_Anderson_Cooper_360/start/3180,28 MILLION US CHILDREN AGES 5 TO 11 NOW ELIGIBLE FOR PFIZER’S COVID VACCINE.
2021-10-02 04:21:00,CNNW,21,CNNW_20211002_040000_Anderson_Cooper_360/start/1260,4900 INCIDENTS OF UNRULY PASSENGERS THIS YEAR
2021-09-07 00:11:00,CNNW,59,CNNW_20210907_000000_Anderson_Cooper_360/start/660,52 DEATHS IN NORTHEAST BLAMED ON STORM
2021-09-03 03:48:00,CNNW,62,CNNW_20210903_030000_Anderson_Cooper_360/start/2880,600 PEOPLE HAVE NOW BEEN CHARGED IN CAPITOL RIOT
2021-09-09 00:11:00,CNNW,51,CNNW_20210909_000000_Anderson_Cooper_360/start/660,75 ADULTS AGE 18 AND UP HAVE RECEIVED AT LEAST ONE DOSE OF THE VACCINE ABOUT 64 ARE FULLY VACCINATED.
2021-10-16 04:41:00,CNNW,61,CNNW_20211016_040000_Anderson_Cooper_360/start/2460,90 YEAR OLD WILLIAM SHATNER MAKES HISTORY AS OLDEST PERSON IN SPACE
2021-10-23 01:00:00,CNNW,51,CNNW_20211023_000000_Anderson_Cooper_360/start/3600,911 CALL FROM BALDWIN MOVIE SET: WE NEED HELP IMMEDIATELY
2021-10-23 04:14:00,CNNW,45,CNNW_20211023_040000_Anderson_Cooper_360/start/840,911 CALLER PEOPLE HAVE BEEN ACCIDENTALLY SHOT ON A MOVIE SET BY A PROP GUN WE NEED HELP IMMEDIATELY.
2021-09-10 04:28:00,CNNW,11,CNNW_20210910_040000_Anderson_Cooper_360/start/1680,911 REMAINS IDENTIFIED 20 YEARS LATER
2021-10-23 04:04:00,CNNW,27,CNNW_20211023_040000_Anderson_Cooper_360/start/240,ACTOR ALEC BALDWIN SAYS HE IS FULLY COOPERATING AFTER HE FIRED PROP GUN ON MOVIE SET KILLING ONE AND WOUNDING ANOTHER
2021-10-23 04:05:00,CNNW,17,CNNW_20211023_040000_Anderson_Cooper_360/start/300,SHERIFF SEARCH WARRANT ISSUED FOR PROPERTY ON SET WHERE ALEC
2021-10-07 00:55:00,CNNW,18,CNNW_20211007_000000_Anderson_Cooper_360/start/3300,ACTOR WILLIAM CAPTAIN KIRK SHATNER ON HIS UPCOMING SPACEFLIGHT
2021-09-07 00:31:00,CNNW,62,CNNW_20210907_000000_Anderson_Cooper_360/start/1860,AFGHAN AIR FORCE PILOTS AND THEIR AIRCRAFT FLEE THE COUNTRY IN ADVANCE OF THE TALIBAN
2021-09-14 04:59:00,CNNW,34,CNNW_20210914_040000_Anderson_Cooper_360/start/3540,AFGHAN MILITARY PILOTS FINALLY ON THE MOVE AFTER BEING STRANDED IN UZBEKISTAN
2021-09-10 04:20:00,CNNW,35,CNNW_20210910_040000_Anderson_Cooper_360/start/1200,AG GARLAND ANNOUNCES LAWSUIT CALLS LAW A SCHEME TO NULLIFY THE CONSTITUTION
2021-09-10 04:25:00,CNNW,45,CNNW_20210910_040000_Anderson_Cooper_360/start/1500,AG GARLAND CALLS NEW LAW A STATUTORY SCHEME THAT ESSENTIALLY CREATES BOUNTY HUNTERS.
2021-10-28 04:26:00,CNNW,26,CNNW_20211028_040000_Anderson_Cooper_360/start/1560,AG GARLAND DEFENDS MEMO RESPONDING TO THREATS OF VIOLENCE AGAINST SCHOOL BOARD MEMBERS.
2021-09-09 00:05:00,CNNW,35,CNNW_20210909_000000_Anderson_Cooper_360/start/300,FLORIDA JUDGE ALLOWS SCHOOL MASK MANDATES TO
2021-09-09 04:10:00,CNNW,53,CNNW_20210909_040000_Anderson_Cooper_360/start/600,AMERICAN ACADEMY OF PEDIATRICS MORE THAN 1 IN 4 OF THE WEEKLY US COVID19 CASES ARE NOW IN CHILDREN
2021-09-09 04:06:00,CNNW,41,CNNW_20210909_040000_Anderson_Cooper_360/start/360,AMERICAN ACADEMY OF PEDIATRICS MORE THAN 1 IN 4 OF THE WEEKLY US COVID19 CASES ARE NOW IN CHILDREN
2021-09-17 05:18:00,CNNW,37,CNNW_20210917_050000_Anderson_Cooper_360/start/1080,AMERICAN ACADEMY OF PEDIATRICS NEW PEDIATRIC CASES UP 240 SINCE JULY
2021-10-14 04:40:00,CNNW,6,CNNW_20211014_040000_Anderson_Cooper_360/start/2400,AMERICANS DIVIDED ALMOST EQUALLY ON HOW BIDEN IS HANDLING HIS JOB AS PRESIDENT
2021-10-14 00:40:00,CNNW,30,CNNW_20211014_000000_Anderson_Cooper_360/start/2400,AMERICANS DIVIDED ALMOST EQUALLY ON HOW BIDEN IS HANDLING HIS JOB AS PRESIDENT
2021-10-14 00:41:00,CNNW,55,CNNW_20211014_000000_Anderson_Cooper_360/start/2460,AMERICANS DIVIDED ALMOST EQUALLY ON HOW BIDEN IS HANDLING HIS JOB AS PRESIDENT
2021-10-05 04:56:00,CNNW,28,CNNW_20211005_040000_Anderson_Cooper_360/start/3360,ANDREW YANG LEAVES DEMOCRATIC PARTY REGISTERS AS INDEPENDENT
2021-10-05 00:55:00,CNNW,31,CNNW_20211005_000000_Anderson_Cooper_360/start/3300,ANDREW YANG LEAVES DEMOCRATIC PARTY REGISTERS AS INDEPENDENT
2021-09-28 04:10:00,CNNW,5,CNNW_20210928_040000_Anderson_Cooper_360/start/600,ANITA HILL ON TEXAS ABORTION LAW AND HER FIGHT TO END GENDER VIOLENCE
2021-09-25 01:01:00,CNNW,62,CNNW_20210925_010000_Anderson_Cooper_360/start/60,ARIZONA GOPS AUDIT ENDS WITH BIDEN GAINING MORE VOTES THAN REPORTED TRUMP LOSING MORE VOTES
2021-09-03 00:17:00,CNNW,19,CNNW_20210903_000000_Anderson_Cooper_360/start/1020,AT LEAST 23 STORMRELATED DEATHS IN NEW JERSEY
2021-09-03 00:22:00,CNNW,28,CNNW_20210903_000000_Anderson_Cooper_360/start/1320,LA HEALTH DEPT 4 NURSING HOME RESIDENTS DIE AFTER THEY WERE EVACUATED TO ANOTHER
2021-09-03 00:02:00,CNNW,28,CNNW_20210903_000000_Anderson_Cooper_360/start/120,AT LEAST 23 STORMRELATED DEATHS IN NEW JERSEY
2021-09-14 00:30:00,CNNW,41,CNNW_20210914_000000_Anderson_Cooper_360/start/1800,AT LEAST 5298 UNTESTED RAPE KITS IN TEXAS
2021-09-14 04:31:00,CNNW,46,CNNW_20210914_040000_Anderson_Cooper_360/start/1860,AT LEAST 5298 UNTESTED RAPE KITS IN TEXAS
2021-09-14 00:34:00,CNNW,47,CNNW_20210914_000000_Anderson_Cooper_360/start/2040,AT LEAST 5298 UNTESTED RAPE KITS IN TEXAS
2021-09-04 00:20:00,CNNW,8,CNNW_20210904_000000_Anderson_Cooper_360/start/1200,AT LEAST 5O DEAD IN NORTHEAST AFTER CATASTROPHIC FLOODS
2021-09-16 04:48:00,CNNW,40,CNNW_20210916_040000_Anderson_Cooper_360/start/2880,ATTORNEY ALEX MURDAUGH HIRED MAN TO SHOOT HIM FOR 10 MILLION LIFE INSURANCE MONEY
2021-09-16 00:50:00,CNNW,49,CNNW_20210916_000000_Anderson_Cooper_360/start/3000,ATTORNEY ALEX MURDAUGH WILL TURN HIMSELF IN THURSDAY
2021-10-08 00:23:00,CNNW,46,CNNW_20211008_000000_Anderson_Cooper_360/start/1380,AUTHORITIES NEVER SPOKE WITH BRIAN LAUNDRIE BEFORE HE DISAPPEARED
2021-10-08 04:22:00,CNNW,41,CNNW_20211008_040000_Anderson_Cooper_360/start/1320,AUTHORITIES NEVER SPOKE WITH BRIAN LAUNDRIE BEFORE HE DISAPPEARED
2021-10-23 00:42:00,CNNW,28,CNNW_20211023_000000_Anderson_Cooper_360/start/2520,AUTHORITIES TRYING TO DETERMINE HOW BRIAN LAUNDRIE DIED.
2021-10-13 00:30:00,CNNW,43,CNNW_20211013_000000_Anderson_Cooper_360/start/1800,AUTHORS OF HOW DEMOCRACIES DIE WEIGH IN ON JAN 6TH INVESTIGATION
2021-10-13 00:33:00,CNNW,26,CNNW_20211013_000000_Anderson_Cooper_360/start/1980,AUTHORS OF HOW DEMOCRACIES DIE WEIGH IN ON JAN 6TH INVESTIGATION
2021-10-13 04:30:00,CNNW,43,CNNW_20211013_040000_Anderson_Cooper_360/start/1800,AUTHORS OF HOW DEMOCRACIES DIE WEIGH IN ON JAN 6TH INVESTIGATION
2021-10-13 04:33:00,CNNW,15,CNNW_20211013_040000_Anderson_Cooper_360/start/1980,AUTHORS OF HOW DEMOCRACIES DIE WEIGH IN ON JAN 6TH INVESTIGATION
2021-10-12 00:52:00,CNNW,55,CNNW_20211012_000000_Anderson_Cooper_360/start/3120,AUTOPSY RESULTS RELEASED TOMORROW ON GABBY PETITOS DEATH
2021-09-04 00:41:00,CNNW,10,CNNW_20210904_000000_Anderson_Cooper_360/start/2460,BAD NEWS ON THE ECONOMY AFGHANISTAN COVID ALL PLAGUE PRES BIDEN.
2021-09-07 05:39:00,CNNW,23,CNNW_20210907_050000_Anderson_Cooper_360/start/2340,BATTLE OVER MASK WEARING CRITICAL RACE THEORY AND GENDER EQUALITY IN AMERICAS SCHOOLS.
2021-09-22 04:42:00,CNNW,57,CNNW_20210922_040000_Anderson_Cooper_360/start/2520,BIDEN ADMIN HORRIFIED BY BORDER AGENTS USING HORSES TO CONFRONT MIGRANTS
2021-09-10 04:16:00,CNNW,10,CNNW_20210910_040000_Anderson_Cooper_360/start/960,BIDEN ANNOUNCES NEW COVID VACCINE AND TESTING MANDATES FOR MILLIONS
2021-11-04 04:12:00,CNNW,11,CNNW_20211104_040000_Anderson_Cooper_360/start/720,BIDEN SAYS PASSING LEGISLATIVE AGENDA MIGHT HAVE SWAYED VIRGINIA VOTERS
2021-09-10 00:25:00,CNNW,58,CNNW_20210910_000000_Anderson_Cooper_360/start/1500,BIDEN ANNOUNCES NEW COVID VACCINE AND TESTING MANDATES FOR MILLIONS OF AMERICANS
2021-09-10 04:27:00,CNNW,32,CNNW_20210910_040000_Anderson_Cooper_360/start/1620,LA UNIFIED SCHOOL BOARD APPROVES COVID VACCINE MANDATE FOR STUDENTS 12 AND OLDER
2021-09-10 00:15:00,CNNW,24,CNNW_20210910_000000_Anderson_Cooper_360/start/900,VACCINE MANDATE FOR ONE OF THE LARGEST SCHOOL DISTRICTS IN US
2021-09-10 04:15:00,CNNW,42,CNNW_20210910_040000_Anderson_Cooper_360/start/900,BIDEN ANNOUNCES NEW COVID VACCINE AND TESTING MANDATES FOR MILLIONS OF AMERICANS
2021-09-10 04:02:00,CNNW,41,CNNW_20210910_040000_Anderson_Cooper_360/start/120,BIDEN TO THE UNVACCINATED YOUR REFUSAL HAS COST ALL OF
2021-09-10 04:07:00,CNNW,32,CNNW_20210910_040000_Anderson_Cooper_360/start/420,BIDEN ANNOUNCES NEW COVID VACCINE AND TESTING MANDATES FOR MILLIONS OF AMERICANS
2021-09-10 00:06:00,CNNW,36,CNNW_20210910_000000_Anderson_Cooper_360/start/360,BIDEN ANNOUNCES SIXPOINT PLAN TO FIGHT PANDEMIC AMID DELTA SURGE AND STALLED VACCINATION RATE
2021-09-10 00:01:00,CNNW,33,CNNW_20210910_000000_Anderson_Cooper_360/start/60,BIDEN TARGETS UNVACCINATED WITH NEW RULES OUR PATIENCE IS WEARING THIN
2021-09-04 01:00:00,CNNW,33,CNNW_20210904_000000_Anderson_Cooper_360/start/3600,BIDEN BLASTS TX ABORTION LAW AS ALMOST UNAMERICAN
2021-11-06 00:12:00,CNNW,57,CNNW_20211106_000000_Anderson_Cooper_360/start/720,BIDEN CALLS INTO PROGRESSIVE CAUCUS MEETING ASKS FOR SUPPORT ON INFRASTRUCTURE BILL
2021-11-06 00:13:00,CNNW,48,CNNW_20211106_000000_Anderson_Cooper_360/start/780,BIDEN CALLS INTO PROGRESSIVE CAUCUS MEETING ASKS FOR SUPPORT ON INFRASTRUCTURE BILL
2021-10-02 06:00:00,CNNW,6,CNNW_20211002_050000_Anderson_Cooper_360/start/3600,BIDEN DOESNT MATTER WHETHER ITS IN 6 MINUTES 6 DAYS OR 6 WEEKS WERE GOING TO GET IT DONE
2021-09-08 04:39:00,CNNW,12,CNNW_20210908_040000_Anderson_Cooper_360/start/2340,BIDEN EXPECTED TO DELIVER MAJOR ADDRESS ON COVID CASES DEATHS UP DRAMATICALLY
2021-09-14 00:17:00,CNNW,6,CNNW_20210914_000000_Anderson_Cooper_360/start/1020,BIDEN IN CALIFORNIA TOURING DAMAGE LEFT BY WILDFIRES
2021-09-04 03:22:00,CNNW,30,CNNW_20210904_030000_Anderson_Cooper_360/start/1320,AT LEAST 5O DEAD IN NORTHEAST AFTER CATASTROPHIC
2021-09-04 00:21:00,CNNW,30,CNNW_20210904_000000_Anderson_Cooper_360/start/1260,AT LEAST 5O DEAD IN NORTHEAST AFTER CATASTROPHIC FLOODS
2021-10-16 00:23:00,CNNW,50,CNNW_20211016_000000_Anderson_Cooper_360/start/1380,BIDEN JUSTICE DEPARTMENT SHOULD PROSECUTE THOSE WHO DEFY JANUARY 6TH COMMITTEE SUBPOENAS
2021-10-16 00:24:00,CNNW,58,CNNW_20211016_000000_Anderson_Cooper_360/start/1440,BIDEN JUSTICE DEPARTMENT SHOULD PROSECUTE THOSE WHO DEFY JANUARY 6TH COMMITTEE SUBPOENAS
2021-11-04 04:01:00,CNNW,36,CNNW_20211104_040000_Anderson_Cooper_360/start/60,BIDEN MAYBE PASSING KEY LEGISLATIVE ITEMS BEFORE ELECTION DAY WOULD HAVE CHANGED THE RESULTS IN VIRGINIA GOVERNORS RACE
2021-11-04 00:01:00,CNNW,33,CNNW_20211104_000000_Anderson_Cooper_360/start/60,BIDEN MAYBE PASSING KEY LEGISLATIVE ITEMS BEFORE ELECTION DAY WOULD HAVE CHANGED THE RESULTS IN VIRGINIA GOVERNORS RACE
2021-10-02 05:20:00,CNNW,32,CNNW_20211002_050000_Anderson_Cooper_360/start/1200,BIDEN MEETS WITH DEMS VOWS WERE GOING TO GET THIS DONE
2021-10-02 01:22:00,CNNW,22,CNNW_20211002_010000_Anderson_Cooper_360/start/1320,BIDEN MEETS WITH DEMS VOWS WERE GOING TO GET
2021-09-04 03:58:00,CNNW,8,CNNW_20210904_030000_Anderson_Cooper_360/start/3480,BIDEN ORDERS DECLASSIFICATION OF DOCS RELATED TO FBI INVESTIGATION INTO TERRORIST ATTACKS
2021-09-10 04:14:00,CNNW,33,CNNW_20210910_040000_Anderson_Cooper_360/start/840,BIDEN PANDEMIC POLITICS IS MAKING
2021-11-04 00:16:00,CNNW,21,CNNW_20211104_000000_Anderson_Cooper_360/start/960,BIDEN SAYS MAYBE PASSING KEY LEGISLATIVE ITEMS BEFORE ELECTION DAY WOULD HAVE CHANGED THE RESULTS IN VIRGINIA GOVERNORS RACE
2021-09-09 04:09:00,CNNW,36,CNNW_20210909_040000_Anderson_Cooper_360/start/540,BIDEN SCHEDULED TO REVEAL NEW STRATEGY TO COMBAT PANDEMIC IN SPEECH TOMORROW
