utc_time,network,seconds_on_screen,program,text
2021-09-02 00:59:00,FOXNEWSW,18,FOXNEWSW_20210902_000000_Tucker_Carlson_Tonight/start/3540,PEN FARTHING NOWZAD FOUNDER
2021-09-02 00:59:00,FOXNEWSW,18,FOXNEWSW_20210902_000000_Tucker_Carlson_Tonight/start/3540,PEN FARTHING NOWZAD FOUNDER
2021-09-02 05:07:00,FOXNEWSW,35,FOXNEWSW_20210902_050000_Tucker_Carlson_Tonight/start/420,TRAVEL BAN IN EFFECT ON ALL NYC ROADS
2021-09-02 05:58:00,FOXNEWSW,40,FOXNEWSW_20210902_050000_Tucker_Carlson_Tonight/start/3480,PEN FARTHING NOWZAD FOUNDER. 4 ROYAL MARINE PEN FARTHING MANAGED TO GET 140 DOGS AND AO CATS OILIT OFE KARIN
2021-09-02 05:59:00,FOXNEWSW,14,FOXNEWSW_20210902_050000_Tucker_Carlson_Tonight/start/3540,PEN FARTHING NOWZAD FOUNDER. L GROUP US LEFT DOGS TO DIE IN KABUL AIRPORT
2021-09-02 06:00:00,FOXNEWSW,30,FOXNEWSW_20210902_050000_Tucker_Carlson_Tonight/start/3600,NY METRO AREA HIT WITH HISTORIC FLASH FLOODING RESCILIES ARE LIND
2021-09-03 00:03:00,FOXNEWSW,12,FOXNEWSW_20210903_000000_Tucker_Carlson_Tonight/start/180,NEAR TOTAL ABORTION BAN TAKES EFFECT
2021-09-03 00:14:00,FOXNEWSW,14,FOXNEWSW_20210903_000000_Tucker_Carlson_Tonight/start/840,SUPREME COURT REFUSES TO STRIKE DOWN NEW TX ABORTION LAW
2021-09-03 00:28:00,FOXNEWSW,18,FOXNEWSW_20210903_000000_Tucker_Carlson_Tonight/start/1680,COLORADO COVID TESTING COMPANY DENIES
2021-09-03 00:56:00,FOXNEWSW,13,FOXNEWSW_20210903_000000_Tucker_Carlson_Tonight/start/3360,FORMER CA DEMOCRATIC SENATE LEADER ON WHY SHE IS ENDORSING 1 ARRY FIDER
2021-09-03 00:57:00,FOXNEWSW,52,FOXNEWSW_20210903_000000_Tucker_Carlson_Tonight/start/3420,GLORIA ROMERO D FMR CA SENATE MAJORITY LEADER
2021-09-03 05:03:00,FOXNEWSW,7,FOXNEWSW_20210903_050000_Tucker_Carlson_Tonight/start/180,NATIONAL ABORTION BAN TAKES EFFECT
2021-09-03 05:47:00,FOXNEWSW,7,FOXNEWSW_20210903_050000_Tucker_Carlson_Tonight/start/2820,CHARGES OF INDECENT EXPOSURE HAVE BEEN FILED AGAINST SERIAL SEX OFFENDER IN A SPA INCIDENT
2021-09-03 05:49:00,FOXNEWSW,52,FOXNEWSW_20210903_050000_Tucker_Carlson_Tonight/start/2940,NAKED BIOLOGICAL MALE WHO IDENTIFIES AS FEMALE SAYS SHE IS THE VICTIM OF TRANSPHOBIC HARASSMENT
2021-09-03 05:57:00,FOXNEWSW,51,FOXNEWSW_20210903_050000_Tucker_Carlson_Tonight/start/3420,GLORIA ROMERO D FMR CA SENATE MAJORITY LEADER
2021-09-03 05:58:00,FOXNEWSW,9,FOXNEWSW_20210903_050000_Tucker_Carlson_Tonight/start/3480,JON GRUDEN RESIGNS AFTER LEAKED EMAILS
2021-09-04 00:12:00,FOXNEWSW,20,FOXNEWSW_20210904_000000_Tucker_Carlson_Tonight/start/720,BIDEN TEAM ARE UNFIT TO LEAD THIS COUNTRY
2021-09-04 00:16:00,FOXNEWSW,13,FOXNEWSW_20210904_000000_Tucker_Carlson_Tonight/start/960,US GOVT LIED FOR TWO DECADES ABOUT AFGHANISTAN
2021-09-04 00:27:00,FOXNEWSW,26,FOXNEWSW_20210904_000000_Tucker_Carlson_Tonight/start/1620,TALIBAN VOWS TO FIGHT TERROR CLIMATE CHANGE
2021-09-04 05:35:00,FOXNEWSW,14,FOXNEWSW_20210904_050000_Tucker_Carlson_Tonight/start/2100,AT LEAST 49 PPL CONFIRMED DEAD FOLLOWING CATASTROPHIC FIOODING IN THE NORTHEAST
2021-09-07 00:27:00,FOXNEWSW,16,FOXNEWSW_20210907_000000_Tucker_Carlson_Tonight_Special/start/1620,PRES BIDEN TO TOUR STORM RAVAGED NY NJ TOMORROW
2021-09-07 05:27:00,FOXNEWSW,19,FOXNEWSW_20210907_050000_Tucker_Carlson_Tonight_Special/start/1620,MANY FIRST RESPONDERS FIGHTING COVID MANDATES
2021-09-08 00:08:00,FOXNEWSW,53,FOXNEWSW_20210908_000000_Tucker_Carlson_Tonight/start/480,MIKE GALLAGHER R WISCONSIN CONGRESSMAN
2021-09-08 00:09:00,FOXNEWSW,11,FOXNEWSW_20210908_000000_Tucker_Carlson_Tonight/start/540,MIKE GALLAGHER R WISCONSIN CONGRESSMAN
2021-09-08 00:10:00,FOXNEWSW,19,FOXNEWSW_20210908_000000_Tucker_Carlson_Tonight/start/600,FAUCI’S BAT CORONAVIRUS GRANT TO ECOHEAITH AIHIANCE TOTAILED OVER 2 MILIION
2021-09-08 00:11:00,FOXNEWSW,22,FOXNEWSW_20210908_000000_Tucker_Carlson_Tonight/start/660,CNN BAD AMERICANS ARE GOING ABOUT THEIR LIVES. HAN WHAT IT WAS LAST LABOR DAY ACCORDING TO DATA FROM JOHN NEW DAY
2021-09-08 00:13:00,FOXNEWSW,25,FOXNEWSW_20210908_000000_Tucker_Carlson_Tonight/start/780,CLAY TRAVIS OUTKICK FOUNDER. REGULAR AMERICANS ARENT SUPPOSED TO BE AEFORDED THE SAME PANDEMIC I1LIXIIRIFS AS THF FIITE
2021-09-08 00:37:00,FOXNEWSW,42,FOXNEWSW_20210908_000000_Tucker_Carlson_Tonight/start/2220,PATRICK MORRISEY WEST VIRGINIA ATTORNEY GENERAL NTAN DI EAM
2021-09-08 00:52:00,FOXNEWSW,9,FOXNEWSW_20210908_000000_Tucker_Carlson_Tonight/start/3120,GIDEON ROZNER INSTITUTE OF PUBLIC AFFAIRS. AUSTRALIANS NOT ALLOWED TO TRAVEL FREFIY WITHIN THFIR OWN COIINTRY
2021-09-08 01:00:00,FOXNEWSW,19,FOXNEWSW_20210908_000000_Tucker_Carlson_Tonight/start/3600,BIDEN ABANDONS AMERICANS IN AFGHANISTAN
2021-09-08 05:01:00,FOXNEWSW,16,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/60,OGART RUSRIIN US RIGHT TO KNOW EXECUTIVE DIRECTOR
2021-09-08 05:08:00,FOXNEWSW,53,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/480,MIKE GALLAGHER R WISCONSIN CONGRESSMAN
2021-09-08 05:09:00,FOXNEWSW,11,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/540,MIKE GALLAGHER R WISCONSIN CONGRESSMAN. FAUCI USED TAXPAYER MONEY TO EFIIND RAT CORONAVIRIIS RFSEARCH
2021-09-08 05:11:00,FOXNEWSW,23,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/660,CNN BAD AMERICANS ARE GOING ABOUT THEIR LIVES
2021-09-08 05:13:00,FOXNEWSW,24,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/780,CLAY TRAVIS OUTKICK FOUNDER. REGULAR AMERICANS ARENT SUPPOSED TO BE AEFORDED THE SAME PANDEMIC 1LIXIIRIES AS THF FIITE
2021-09-08 05:21:00,FOXNEWSW,36,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/1260,BRIT HUME SENIOR POLITICAL ANALYST
2021-09-08 05:37:00,FOXNEWSW,42,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/2220,PATRICK MORRISEY WEST VIRGINIA ATTORNEY GENERAL NTAN DI EAM
2021-09-08 05:52:00,FOXNEWSW,8,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/3120,GIDEON ROZNER INSTITUTE OF PUBLIC AFFAIRS
2021-09-08 06:00:00,FOXNEWSW,21,FOXNEWSW_20210908_050000_Tucker_Carlson_Tonight/start/3600,BIDEN ABANDONS AMERICANS IN AFGHANISTAN 2
2021-09-09 00:06:00,FOXNEWSW,29,FOXNEWSW_20210909_000000_Tucker_Carlson_Tonight/start/360,JOE KENT R WA CONGRESSIONAL CANDIDATE
2021-09-09 00:07:00,FOXNEWSW,29,FOXNEWSW_20210909_000000_Tucker_Carlson_Tonight/start/420,JOE KENT R WA CONGRESSIONAL CANDIDATE
2021-09-09 00:10:00,FOXNEWSW,8,FOXNEWSW_20210909_000000_Tucker_Carlson_Tonight/start/600,CORONA COMPLIANCE OFFICERS ARE SCARING BUSINESSES INTO CHECKING VACCINE STATUS
2021-09-09 00:11:00,FOXNEWSW,37,FOXNEWSW_20210909_000000_Tucker_Carlson_Tonight/start/660,BIDENS LATE ADDITION TO THE GOVT FUNDING BILL
