"word","count"
"biden",3356
">",1690
"fox",1515
"democrats",1222
"border",1062
"bidens",946
"new",929
"us",909
"news",818
"house",787
"afghanistan",763
"vaccine",689
"state",642
"911",637
"former",624
"spending",622
"$",616
"=",616
"america",606
"crisis",602
"t",591
"migrants",552
"agenda",544
"covid",534
"americans",534
"bill",531
"trump",522
"o",499
"wh",496
"police",494
"mandate",476
"2",471
"supply",468
"va",437
"president",437
"mandates",429
"race",428
"school",425
"white",424
"taliban",424
"insurance",420
"garland",409
"secretary",396
"b",394
"blinken",393
"senator",390
"1",387
"laundrie",385
"afghan",376
"world",366
"petito",362
"rpt",361
"texas",358
"contributor",353
"chain",351
"~",350
"admin",346
"amid",344
"host",343
"plan",341
"w",329
"parents",329
"media",326
"fbi",325
"migrant",322
"now",321
"gabby",320
"back",319
"gov",316
"candidate",310
"senate",309
"gop",303
"milley",299
"fmr",291
"china",285
"calls",282
"tx",279
"committee",278
"brian",277
"3",272
"doj",272
"years",270
"ca",268
"vax",263
"virginia",263
"year",252
"2o",249
"family",246
"4",245
"surge",245
"killed",243
"attorney",241
"first",241
"left",239
"home",236
"+",236
"inflation",233
"joe",232
"exit",230
"liberty",229
