utc_time,network,seconds_on_screen,program,text
2021-09-02 01:02:00,MSNBCW,4,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/120,2013 TX STATE LAWMAKER FILIBUSTERS ABORTION BILL
2021-09-02 01:04:00,MSNBCW,33,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/240,MARCH 2014 MORE WOMEN TAKING MATTERS INTO THEIR OWN HANDS AFTER RESTRICTIVE ABORTION BILL PASSES IN T
2021-09-02 01:08:00,MSNBCW,37,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/480,2016 ABORTION RIGHTS GROUP WINS CASE BEFORE SCOTL
2021-09-02 01:10:00,MSNBCW,7,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/600,MCALLEN TX ABORTION CLINIC REOPENED AFTER 2016 SCOTUS VICTORY FOR ABORTION RIGHTS
2021-09-02 01:11:00,MSNBCW,21,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/660,2016 REPUBLICAN SENATE REFUSES TO HOLD VOTE ON OBAMA NOMINEE FOR SCOTUS
2021-09-02 01:12:00,MSNBCW,34,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/720,TRUMP APPOINTED THREE NEW SUPREME COURT JUSTICES IN JUST A SINGLE PRESIDENTIAL TERM
2021-09-02 01:22:00,MSNBCW,9,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/1320,TEXAS ABORTION CLINICS TURNING AWAY PATIENTS AS STRICT NEW LAW TAKES EFFECT
2021-09-02 01:24:00,MSNBCW,42,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/1440,SCOTUS ALLOWING TEXAS TO EFFECTIVELY BAN ABORTION IN STATE
2021-09-02 01:25:00,MSNBCW,53,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/1500,ABORTION CLINICS BEGIN TURNING PATIENTS AWAY AS TEXAS ABORTION LAW GOES INTO EFFECT
2021-09-02 01:26:00,MSNBCW,34,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/1560,SCOTUS ALLOWING TEXAS TO EFFECTIVELY BAN ABORTION IN STATE
2021-09-02 01:37:00,MSNBCW,49,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/2220,ORGANIZATIONS SUPPORTING ABORTION RIGHTS MAY BE TARGETED UNDER NEW TEXAS LAW
2021-09-02 01:45:00,MSNBCW,11,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/2700,FLOODED ST JOHN THE BAPTIST PARISH STILL WITHOUT ELECTRICITY
2021-09-02 01:46:00,MSNBCW,24,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/2760,ST JOHN THE BAPTIST PARISH RESIDENTS MAY BE WITHOUT POWER FOR UP TO A MONTH OR LONGER
2021-09-02 01:52:00,MSNBCW,49,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/3120,HURRICANE IDA FLOODS ST JOHN THE BAPTIST PARISH
2021-09-02 01:53:00,MSNBCW,47,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/3180,ST JOHN THE BAPTIST PARISH RESIDENTS MAY BE WITHOUT POWER FOR UP TO A MONTH OR LONGER
2021-09-02 01:54:00,MSNBCW,52,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/3240,RESCUE OPERATIONS UNDERWAY AFTER HURRICANE IDA PUMMELS LOUISIANA
2021-09-02 01:55:00,MSNBCW,42,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/3300,ST JOHN THE BAPTIST PARISH UNDER BOIL WATER ADVISORY CURFEW
2021-09-02 01:56:00,MSNBCW,45,MSNBCW_20210902_010000_The_Rachel_Maddow_Show/start/3360,ST JOHN THE BAPTIST PARISH UNDER BOIL WATER ADVISORY CURFEW
2021-09-02 04:40:00,MSNBCW,36,MSNBCW_20210902_040000_The_Rachel_Maddow_Show/start/2400,TEXAS WOMEN LIKELY TO LEAVE STATE TO SEEK ABORTION
2021-09-03 01:02:00,MSNBCW,12,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/120,PA PERFORMS THOUSANDS OF WATER RESCUES AMID HISTORIC NORTHEAST FLOODING.
2021-09-03 01:03:00,MSNBCW,19,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/180,GULF CONTINUES SLOW RECOVERY AFTER HURRICANE ID
2021-09-03 01:09:00,MSNBCW,20,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/540,NY NJ FACE CATASTROPHIC FLOODING AS IDA MOVES NORT
2021-09-03 01:10:00,MSNBCW,26,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/600,HUNDREDS OF THOUSANDS STILL WITHOUT POWER IN LOUISANA
2021-09-03 01:11:00,MSNBCW,19,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/660,HUNDREDS OF THOUSANDS STILL WITHOUT POWER IN LOUISANA
2021-09-03 01:43:00,MSNBCW,12,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/2580,DEMOCRATS PROMISE FEDERAL BACKSTOP TO PROTECT ABORTION RIGHTS IN 1992
2021-09-03 01:51:00,MSNBCW,35,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/3060,PELOSI PLEDGES TO BRING ABORTION RIGHTS PROTECTION BILL TO HOUSE FLOOR
2021-09-03 01:52:00,MSNBCW,51,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/3120,WHITE HOUSE SAYS BIDEN WILL PUSH CONGRESS TO CODIFY ROE V WADE INTO LAW
2021-09-03 01:54:00,MSNBCW,25,MSNBCW_20210903_010000_The_Rachel_Maddow_Show/start/3240,DEMS PLANNING NEW PUSH TO CODIFY ABORTION RIGHTS INTO FEDERAL LAW
2021-09-03 04:01:00,MSNBCW,52,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/60,CALIFORNIA BATTLING MULTIPLE HISTORIC WILDFIRE
2021-09-03 04:02:00,MSNBCW,24,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/120,CALIFORNIA BATTLING MULTIPLE HISTORIC WILDFIRE
2021-09-03 04:03:00,MSNBCW,19,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/180,GULF CONTINUES SLOW RECOVERY AFTER HURRICANE ID
2021-09-03 04:05:00,MSNBCW,20,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/300,BIDEN TO VISIT LOUISIANA AS STATE RECOVERS FROM ID
2021-09-03 04:06:00,MSNBCW,33,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/360,BIDEN URGES CONGRESS TO PASS BUILD BACK BETTER PLAN AS CLIMATE CATASTROPHES TEST AMERICAS INFRASTRUCTURI
2021-09-03 04:10:00,MSNBCW,22,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/600,NY NJ FACE CATASTROPHIC FLOODING AS IDA MOVES NORTH
2021-09-03 04:11:00,MSNBCW,31,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/660,HUNDREDS OF THOUSANDS STILL WITHOUT POWER IN LOUISANA
2021-09-03 04:32:00,MSNBCW,38,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/1920,SUPREME COURT GUTS ROE V WADE IN 5-4 VOTE
2021-09-03 04:34:00,MSNBCW,48,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/2040,SUPREME COURT ENDS 50 YEARS OF PRECEDENT ALLOWS TEXAS BAN ON ABORTION TO TAKE EFFECT
2021-09-03 04:35:00,MSNBCW,62,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/2100,IN UNSIGNED OPINION 5 SUPREME COURT JUSTICES BLOCK TEXAS BAN ON ABORTION
2021-09-03 04:54:00,MSNBCW,34,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/3240,DEMS PLANNING NEW PUSH TO CODIFY ABORTION RIGHTS INTO FEDERAL LAW
2021-09-03 08:02:00,MSNBCW,11,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/120,PA PERFORMS THOUSANDS OF WATER RESCUES AMID HISTORIC NORTHEAST FLOODING
2021-09-03 08:03:00,MSNBCW,23,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/180,HUNDREDS OF THOUSANDS STILL WITHOUT POWER IN LOUISANA
2021-09-03 08:07:00,MSNBCW,32,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/420,BIDEN PLEDGES FEMA SUPPORT TO STATES HARDHIT BY CLIMATE DISASTERS
2021-09-03 08:08:00,MSNBCW,15,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/480,CLIMATE DISASTERS TEAR THROUGH MUCH OF U
2021-09-03 08:10:00,MSNBCW,33,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/600,HUNDREDS OF THOUSANDS STILL WITHOUT POWER IN LOUISIANA
2021-09-03 08:12:00,MSNBCW,46,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/720,BIDEN TO VISIT LOUISIANA AS STATE RECOVERS FROM IDA
2021-09-03 08:31:00,MSNBCW,26,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/1860,SUPREME COURT BREAKS SILENCE WONT BLOCK TEXAS ABORTION LAW
2021-09-03 08:43:00,MSNBCW,12,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/2580,DEMOCRATS PROMISE FEDERAL BACKSTOP TO PROTECT ABORTION RIGHTS IN 1992
2021-09-03 08:53:00,MSNBCW,45,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/3180,DEMS PLANNING NEW PUSH TO CODIFY ABORTION RIGHTS INTO FEDERAL LAW
2021-09-03 08:54:00,MSNBCW,20,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/3240,DEM PLANS TO PASS FEDERAL ABORTION PROTECTIONS REEMERGE AFTER SUPREME COURT ALLOWS TEXAS BAN
2021-09-08 01:13:00,MSNBCW,12,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/780,RACE FOR VA GOV REMAINS CLOSE BEFORE ELECTION DAY
2021-09-08 01:19:00,MSNBCW,23,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/1140,HARVARD LAW SCHOOL PROFESSOR. LAURENCE TRIBE DOJ SHOULD USE FEDERAL LAW TO DETEF INDIVIDUALS FROM USING NEW TX ABORTION LAW.
2021-09-08 01:21:00,MSNBCW,45,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/1260,LAURENCE TRIBE SUCCESSFULLY ARGUED 1982 SCOTUS CASE THAT MAY BE USED TO FIGHT TEXAS ABORTION LAW
2021-09-08 01:41:00,MSNBCW,31,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/2460,TX GOV ABBOTT SIGNS RESTRICTIVE VOTING BIL
2021-09-08 01:43:00,MSNBCW,35,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/2580,NEW RESTRICTIVE TX VOTING LAW FACES AT LEAST 5 LEGAL CHALLENGES.
2021-09-08 01:45:00,MSNBCW,47,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/2700,NEW RESTRICTIVE TX VOTING LAW FACES AT LEAST 5 LEGAL CHALLENGES
2021-09-08 01:47:00,MSNBCW,3,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/2820,NEW TX VOTING LAW ALREADY FACES LAWSUIT
2021-09-08 01:52:00,MSNBCW,25,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/3120,AMERICANS WELCOME AFGHAN REFUGEES FLEEING TALIBAN RUI
2021-09-08 04:41:00,MSNBCW,29,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/2460,TX GOV ABBOTT SIGNS RESTRICTIVE VOTING BIL
2021-09-08 04:43:00,MSNBCW,37,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/2580,NEW RESTRICTIVE TX VOTING LAW FACES AT LEAST 5 LEGAL CHALLENGES.
2021-09-08 04:45:00,MSNBCW,54,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/2700,NEW RESTRICTIVE TX VOTING LAW FACES AT LEAST 5 LEGAL CHALLENGES
2021-09-08 04:52:00,MSNBCW,25,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/3120,AMERICANS WELCOME AFGHAN REFUGEES FLEEING TALIBAN RUI
2021-09-08 04:54:00,MSNBCW,31,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/3240,TALIBAN VIOLENTLY BROKE UP WOMENS RIGHTS PROTEST THIS WEEKEND
2021-09-08 04:55:00,MSNBCW,9,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/3300,AFGHAN WOMEN PROTEST DEFY TALIBAN DEMAND RIGHT
2021-09-09 01:08:00,MSNBCW,14,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/480,MAN ACCUSED OF BRINGING MOLOTOV COCKTAILS LOADEL FIREARMS TO CAPITOL ON JAN 6 WAS ARRESTED
2021-09-09 01:12:00,MSNBCW,16,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/720,PROTECTIVE FENCING TO BE REINSTALLED AROUND CAPITOL AHEAD OF SEPT 18 RALLY
2021-09-09 01:35:00,MSNBCW,33,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/2100,ELECTION OFFICIALS NATIONWIDE FACE THREATS OVER 2020 ELECTION
2021-09-09 01:36:00,MSNBCW,49,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/2160,ELECTION WORKERS CONTINUE TO FACE THREAT
2021-09-09 01:37:00,MSNBCW,36,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/2220,ELECTION WORKERS CONTINUE TO FACE THREAT
2021-09-09 01:45:00,MSNBCW,10,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/2700,ARTIST RECORDED STORIES OF 911 IN MONTHS AFTER TERRORIST ATTACKS
2021-09-09 04:01:00,MSNBCW,22,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/60,FBI RELEASES MAP SHOWING POTENTIAL PATH OF SUSPECTED DC PIPE BOMBER
2021-09-09 04:05:00,MSNBCW,11,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/300,AUGUST 19 SECOND BOMB SCARE IN DC MONTHS AFTER PIPE BOMBS FOUND JAN 6
