"word","count"
"biden",4482
"new",2703
"trump",2269
"democrats",2254
"house",2079
"us",1719
"gop",1665
"jan",1642
"bill",1617
"abortion",1530
"election",1482
"vaccine",1399
"texas",1360
"covid",1329
"vote",1275
"law",1134
"infrastructure",1037
"representative",1028
"state",1022
"cmte",999
"insurance",973
"agenda",969
"news",902
"voting",893
"tx",877
"president",877
"rights",860
"rally",845
"bannon",845
"senator",816
"nbc",814
"capitol",806
"fmr",762
"white",756
"manchin",727
"california",695
"court",694
"plan",681
"senate",671
"gov",666
"doj",655
"apply",633
"d",626
"fda",625
"policy",619
"back",611
"o",611
"=",604
"company",599
"police",590
"contempt",574
"republicans",568
"terms",558
"ahead",542
"says",535
"school",535
"requirements",530
"$",525
"race",519
"first",516
"spending",514
"committee",500
"today",496
"mandate",491
"correspondent",490
"t",490
"trumps",488
"book",486
"climate",483
"supreme",472
"16",471
"virginia",466
"justice",464
"liberty",463
"mutual",459
"may",456
"facebook",452
"now",450
"1",445
"bidens",438
"2o2o",437
"pelosi",430
"subpoenas",426
"report",424
"hill",409
"recall",402
"booster",400
"use",395
"block",388
"ban",388
"affiliate",386
"votes",383
"dr",377
"2o21",377
"~",376
"get",375
"la",373
"push",369
"j",368
"criminal",365
